DateCollected,Trap,Trt,Site,Year,O.Polydesmida,O.Callipodida,O.Chordeumatida,O.Julida,O.Spirobolida,O.Polyzoniidae,O.Isopoda,O.Collembola,Nitidulidae,Staphylinidae,Silphidae,Scarabaeidae,Trogidae,Geotrupidae,Elateridae,Histeridae,Phalacridae,Rhaphidophoridae,TotalDecomp
6/14/2023,1,2,1,2023,0,0,0,0,0,0,73,61,3,5,0,0,0,0,0,0,0,4,146
6/14/2023,2,3,2,2023,0,0,0,6,0,0,14,52,1,0,3,0,0,0,0,0,0,17,93
6/14/2023,3,3,2,2023,1,0,0,1,0,0,8,77,3,1,0,1,0,0,0,0,0,2,94
6/14/2023,4,2,1,2023,0,0,0,0,0,0,52,57,0,2,1,0,0,0,0,0,0,1,113
6/14/2023,5,1,3,2023,2,0,0,1,0,0,15,29,0,3,0,0,0,0,0,0,0,2,52
6/14/2023,6,1,3,2023,1,0,0,0,0,0,33,49,3,3,0,0,0,0,0,0,0,2,91
6/14/2023,7,2,4,2023,1,0,0,0,0,0,99,282,6,9,0,0,0,0,0,0,0,6,403
6/14/2023,8,2,4,2023,4,0,0,5,0,0,67,94,1,22,3,3,0,0,0,0,0,1,200
6/14/2023,9,1,5,2023,5,0,0,13,0,0,17,210,2,1,2,0,0,0,1,0,0,41,292
6/14/2023,10,1,5,2023,0,0,0,0,0,0,9,54,3,0,0,0,0,0,0,0,0,24,90
6/14/2023,11,1,6,2023,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,21
6/14/2023,12,1,6,2023,0,0,0,0,0,0,11,19,2,1,0,0,0,0,0,0,0,19,52
6/14/2023,13,3,7,2023,1,2,0,0,2,0,5,101,1,2,0,0,0,0,0,0,0,23,137
6/14/2023,14,3,7,2023,0,0,0,0,0,0,17,506,1,3,2,2,0,0,0,0,0,23,554
6/14/2023,15,2,8,2023,0,0,0,2,0,0,30,34,3,1,0,0,0,0,0,0,0,2,72
6/14/2023,16,2,8,2023,5,0,0,0,0,0,18,50,2,0,0,0,0,0,0,0,0,15,90
6/14/2023,17,3,9,2023,7,0,0,0,0,0,15,147,0,5,0,0,0,0,0,0,0,21,195
6/14/2023,18,3,9,2023,0,0,0,0,3,0,67,40,0,3,1,1,0,0,1,0,0,2,118
6/28/2023,1,2,1,2023,0,0,0,0,0,0,36,44,3,4,0,0,0,0,0,0,0,0,87
6/28/2023,2,3,2,2023,1,0,0,1,0,0,22,166,3,5,3,2,0,0,0,0,0,3,206
6/28/2023,3,3,2,2023,1,0,0,2,0,0,7,95,2,5,2,1,0,0,0,0,0,0,115
6/28/2023,4,2,1,2023,1,0,0,0,0,0,50,67,3,2,0,0,0,0,0,0,0,0,123
6/28/2023,5,1,3,2023,0,0,0,0,0,14,13,92,1,2,0,0,0,0,0,0,0,1,123
6/28/2023,6,1,3,2023,1,0,0,0,0,0,34,80,0,10,0,0,0,0,0,0,0,0,125
6/28/2023,7,2,4,2023,0,0,0,0,0,0,3,22,5,2,0,1,0,0,0,0,0,0,33
6/28/2023,8,2,4,2023,2,0,0,0,0,0,19,62,0,10,0,1,0,0,0,0,0,0,94
6/28/2023,9,1,5,2023,2,0,0,4,0,0,30,623,5,10,0,0,0,0,0,0,0,0,674
6/28/2023,10,1,5,2023,1,0,0,7,0,0,13,129,8,4,0,0,0,0,0,0,0,0,162
6/28/2023,11,1,6,2023,4,0,0,1,0,0,11,113,3,11,1,0,0,0,0,0,0,0,144
6/28/2023,12,1,6,2023,4,0,0,0,0,0,51,107,3,21,1,0,0,0,0,0,0,14,201
6/28/2023,13,3,7,2023,4,0,0,2,0,0,17,262,2,3,1,1,0,0,0,0,0,0,292
6/28/2023,14,3,7,2023,1,0,0,0,0,0,12,143,0,7,0,0,0,0,0,0,0,0,163
6/28/2023,15,2,8,2023,0,0,0,0,0,0,45,98,2,7,0,1,0,0,0,0,0,0,153
6/28/2023,16,2,8,2023,3,0,0,10,0,1,14,336,4,3,0,0,0,0,0,0,0,0,371
6/28/2023,17,3,9,2023,1,0,3,10,0,0,18,181,0,5,2,0,0,0,0,0,0,0,220
6/28/2023,18,3,9,2023,1,0,0,0,0,0,39,124,6,12,0,2,0,0,1,0,0,13,198
7/12/2023,1,2,1,2023,0,0,0,0,0,0,8,43,3,1,0,1,0,0,0,0,0,0,56
7/12/2023,2,3,2,2023,0,0,0,1,0,0,55,111,2,24,13,7,0,0,0,0,0,6,219
7/12/2023,3,3,2,2023,1,0,0,0,0,0,5,38,6,3,0,0,0,0,0,0,1,1,55
7/12/2023,4,2,1,2023,1,0,0,0,0,0,89,233,31,16,0,0,0,1,0,0,0,0,371
7/12/2023,5,1,3,2023,0,0,0,0,0,0,109,318,9,19,0,0,0,0,0,0,3,4,462
7/12/2023,6,1,3,2023,1,0,0,0,0,0,18,78,25,9,0,0,0,0,0,0,0,0,131
7/12/2023,8,2,4,2023,4,0,0,0,0,0,141,425,6,18,0,0,0,0,0,0,0,0,594
7/12/2023,9,1,5,2023,8,0,0,0,0,0,4,503,0,0,0,0,0,0,0,0,0,8,523
7/12/2023,10,1,5,2023,1,0,0,0,0,0,27,289,41,6,0,0,0,0,0,0,2,10,376
7/12/2023,11,1,6,2023,1,0,0,0,0,0,7,383,35,21,0,0,0,0,0,0,0,22,469
7/12/2023,12,1,6,2023,9,0,0,0,0,0,33,146,24,16,0,1,0,1,0,0,0,17,247
7/12/2023,13,3,7,2023,3,0,0,0,0,0,13,280,6,9,0,0,0,0,0,0,3,2,316
7/12/2023,14,3,7,2023,1,0,0,2,0,0,7,140,19,11,0,0,0,0,0,0,0,6,186
7/12/2023,15,2,8,2023,0,0,0,0,0,0,132,566,16,27,0,0,0,0,0,0,1,2,744
7/12/2023,16,2,8,2023,3,0,0,0,0,0,15,433,5,11,0,0,0,0,1,0,4,7,479
7/12/2023,17,3,9,2023,8,0,0,0,0,0,38,277,4,34,0,1,1,0,3,0,4,12,382
7/12/2023,18,3,9,2023,2,0,0,0,0,0,72,137,9,35,0,0,0,0,0,0,0,7,262
7/31/2023,1,2,1,2023,1,0,0,0,0,0,57,146,5,14,0,0,0,0,0,0,0,4,227
7/31/2023,2,3,2,2023,1,0,0,0,0,0,9,2,0,0,0,35,0,1,0,0,0,0,48
7/31/2023,3,3,2,2023,0,0,0,0,0,0,5,28,30,7,0,1,0,0,2,0,0,1,74
7/31/2023,4,2,1,2023,0,0,0,0,0,0,46,548,37,22,0,1,0,0,0,0,3,4,661
7/31/2023,5,1,3,2023,0,0,0,0,0,0,57,362,16,25,1,0,0,0,0,0,0,7,468
7/31/2023,6,1,3,2023,2,0,0,0,0,0,13,55,30,5,0,4,0,1,0,0,0,2,112
7/31/2023,7,2,4,2023,0,0,0,0,0,0,48,176,22,5,0,2,0,0,0,0,0,4,257
7/31/2023,8,2,4,2023,2,0,0,0,0,0,50,11,8,6,0,3,0,0,0,0,0,1,81
7/31/2023,9,1,5,2023,1,0,0,2,0,0,28,442,23,4,0,1,0,0,1,0,0,9,511
7/31/2023,10,1,5,2023,0,0,0,1,0,0,13,187,34,20,1,10,0,0,0,0,0,23,289
7/31/2023,11,1,6,2023,0,0,0,2,0,0,14,120,31,9,0,2,0,0,1,0,0,6,185
7/31/2023,13,3,7,2023,3,0,0,0,0,0,23,209,18,5,0,0,0,0,0,0,0,2,260
7/31/2023,14,3,7,2023,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,15
7/31/2023,16,2,8,2023,0,2,0,0,2,0,33,737,16,17,0,0,0,0,0,0,0,13,820
7/31/2023,17,3,9,2023,7,0,0,0,0,0,49,450,5,22,1,0,1,0,0,0,2,13,550
7/31/2023,18,3,9,2023,2,0,0,1,0,0,92,182,6,15,0,5,0,0,0,0,0,10,313
8/14/2023,1,2,1,2023,1,0,0,0,0,0,6,179,10,2,0,0,0,0,0,0,2,0,200
8/14/2023,2,3,2,2023,1,0,0,1,0,0,10,25,5,7,0,3,0,3,0,0,0,1,56
8/14/2023,3,3,2,2023,1,0,0,0,0,0,0,22,13,2,0,0,0,0,0,0,0,0,38
8/14/2023,4,2,1,2023,0,0,0,0,0,0,2,127,17,4,0,0,0,0,0,0,0,0,150
8/14/2023,5,1,3,2023,0,0,0,0,0,0,4,114,15,9,0,0,0,0,0,0,0,9,151
8/14/2023,6,1,3,2023,6,0,0,0,0,0,6,710,70,22,3,1,0,2,0,0,2,1,823
8/14/2023,8,2,4,2023,2,0,0,0,0,0,10,96,10,8,0,0,0,0,0,0,0,0,126
8/14/2023,9,1,5,2023,5,0,0,0,0,0,15,207,0,0,0,0,0,0,0,0,0,0,227
8/14/2023,10,1,5,2023,2,0,0,0,0,0,9,307,30,8,1,1,0,0,0,0,1,5,364
8/14/2023,11,1,6,2023,1,0,0,0,0,0,34,368,43,22,0,4,3,17,0,0,1,24,517
8/14/2023,12,1,6,2023,2,0,0,0,0,0,22,231,13,5,0,0,0,0,0,0,0,13,286
8/14/2023,13,3,7,2023,1,0,0,0,0,0,9,192,6,3,1,0,0,0,0,0,0,3,215
8/14/2023,14,3,7,2023,0,0,0,0,0,0,1,388,4,7,0,2,0,0,1,0,2,8,413
8/14/2023,15,2,8,2023,2,0,0,0,0,0,14,248,19,8,1,1,0,2,1,0,0,1,297
8/14/2023,16,2,8,2023,14,0,0,0,0,0,12,818,18,20,1,5,0,0,1,0,1,11,901
8/14/2023,17,3,9,2023,0,0,0,0,0,0,18,324,0,35,24,0,1,0,0,0,0,4,406
8/14/2023,18,3,9,2023,1,0,0,0,0,0,62,217,3,27,0,4,0,1,0,0,0,7,322
8/28/2023,1,2,1,2023,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4
8/28/2023,2,3,2,2023,4,0,0,0,0,0,14,187,25,3,0,2,0,0,0,0,0,12,247
8/28/2023,3,3,2,2023,0,0,0,0,0,0,1,96,5,3,0,0,0,0,0,0,0,0,105
8/28/2023,4,2,1,2023,1,0,0,0,0,0,1,41,0,1,1,0,0,1,0,0,0,0,46
8/28/2023,5,1,3,2023,0,0,0,0,0,0,1,18,1,0,0,0,0,0,0,0,0,2,22
8/28/2023,6,1,3,2023,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14
8/28/2023,7,2,4,2023,2,0,0,0,0,0,2,306,12,8,0,0,0,2,0,1,1,0,334
8/28/2023,8,2,4,2023,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
8/28/2023,9,1,5,2023,6,0,0,0,0,0,5,139,17,10,0,0,0,3,0,0,5,11,196
8/28/2023,10,1,5,2023,2,0,0,0,0,0,1,153,52,2,0,0,0,3,1,0,0,7,221
8/28/2023,11,1,6,2023,2,0,0,0,0,0,1,129,11,2,1,0,0,1,0,0,0,9,156
8/28/2023,12,1,6,2023,1,0,0,0,0,0,3,41,3,9,9,9,9,9,9,0,0,1,103
8/28/2023,13,3,7,2023,1,0,0,0,0,0,4,152,4,5,0,0,0,0,0,0,0,0,166
8/28/2023,14,3,7,2023,0,0,0,0,0,0,1,6,2,0,3,0,0,5,0,0,0,1,18
8/28/2023,16,2,8,2023,7,0,0,0,0,0,2,396,25,17,0,1,0,0,0,0,2,7,457
8/28/2023,17,3,9,2023,2,0,0,0,0,0,3,264,2,26,2,3,0,4,0,0,3,3,312
8/28/2023,18,3,9,2023,1,0,0,0,0,0,13,53,7,10,0,2,0,1,0,0,0,2,89
9/13/2023,1,2,1,2023,0,0,0,0,0,0,8,91,2,4,0,0,0,11,0,0,0,0,116
9/13/2023,2,3,2,2023,5,0,0,0,0,0,10,48,6,64,1,4,0,5,0,0,0,6,149
9/13/2023,3,3,2,2023,0,0,0,4,0,0,1,47,3,6,0,2,0,0,0,0,0,5,68
9/13/2023,4,2,1,2023,0,0,0,0,0,0,0,52,3,2,0,0,0,0,0,0,0,0,57
9/13/2023,5,1,3,2023,5,0,0,0,0,0,5,75,0,14,0,3,0,2,0,0,0,1,105
9/13/2023,6,1,3,2023,0,0,0,0,0,0,0,67,1,2,0,0,0,0,0,0,0,1,71
9/13/2023,7,2,4,2023,2,0,0,0,0,0,0,150,3,7,0,0,0,0,0,0,0,0,162
9/13/2023,8,2,4,2023,3,0,0,0,0,0,1,22,4,4,0,1,0,3,0,0,0,0,38
9/13/2023,9,1,5,2023,12,0,0,0,0,0,2,59,36,18,0,0,0,9,0,0,2,3,141
9/13/2023,10,1,5,2023,10,0,0,0,0,0,0,53,53,9,1,3,0,0,0,0,0,9,138
9/13/2023,11,1,6,2023,0,0,0,5,0,0,0,92,20,14,0,0,0,15,1,0,0,3,150
9/13/2023,12,1,6,2023,7,0,0,0,0,0,1,48,5,11,1,0,0,1,0,0,0,6,80
9/13/2023,13,3,7,2023,0,0,0,10,0,0,6,175,4,25,3,0,0,2,0,0,0,5,230
9/13/2023,14,3,7,2023,3,0,0,2,0,0,0,70,9,36,0,13,0,19,0,2,0,1,155
9/13/2023,15,2,8,2023,1,0,0,0,0,0,1,85,2,8,0,1,0,0,0,0,0,0,98
9/13/2023,16,2,8,2023,2,0,0,30,0,0,1,272,30,20,5,0,0,0,0,0,0,12,372
9/13/2023,17,3,9,2023,9,0,0,31,0,0,1,84,2,25,2,1,0,0,0,0,0,2,157
9/13/2023,18,3,9,2023,14,0,0,0,0,0,16,22,0,0,0,0,0,0,0,0,0,0,52
